start_date,end_date,country,indicator,Value,rate,frequency,currency
01/01/1948,31/01/1948,USA,unemp,2351,3.4,monthly,USD
01/02/1948,28/02/1948,USA,unemp,2807,3.8,monthly,USD
01/03/1948,31/03/1948,USA,unemp,2646,4,monthly,USD
01/04/1948,30/04/1948,USA,unemp,2407,3.9,monthly,USD
01/05/1948,31/05/1948,USA,unemp,2014,3.5,monthly,USD
01/06/1948,30/06/1948,USA,unemp,2408,3.6,monthly,USD
01/07/1948,31/07/1948,USA,unemp,2411,3.6,monthly,USD
01/08/1948,31/08/1948,USA,unemp,2238,3.9,monthly,USD
01/09/1948,30/09/1948,USA,unemp,2061,3.8,monthly,USD
01/10/1948,31/10/1948,USA,unemp,1747,3.7,monthly,USD
01/11/1948,30/11/1948,USA,unemp,2033,3.8,monthly,USD
01/12/1948,31/12/1948,USA,unemp,2205,4,monthly,USD
01/01/1949,31/01/1949,USA,unemp,2995,4.3,monthly,USD
01/02/1949,28/02/1949,USA,unemp,3474,4.7,monthly,USD
01/03/1949,31/03/1949,USA,unemp,3383,5,monthly,USD
01/04/1949,30/04/1949,USA,unemp,3277,5.3,monthly,USD
01/05/1949,31/05/1949,USA,unemp,3516,6.1,monthly,USD
01/06/1949,30/06/1949,USA,unemp,3966,6.2,monthly,USD
01/07/1949,31/07/1949,USA,unemp,4388,6.7,monthly,USD
01/08/1949,31/08/1949,USA,unemp,3956,6.8,monthly,USD
01/09/1949,30/09/1949,USA,unemp,3635,6.6,monthly,USD
01/10/1949,31/10/1949,USA,unemp,3788,7.9,monthly,USD
01/11/1949,30/11/1949,USA,unemp,3570,6.4,monthly,USD
01/12/1949,31/12/1949,USA,unemp,3690,6.6,monthly,USD
01/01/1950,31/01/1950,USA,unemp,4648,6.5,monthly,USD
01/02/1950,28/02/1950,USA,unemp,4791,6.4,monthly,USD
01/03/1950,31/03/1950,USA,unemp,4313,6.3,monthly,USD
01/04/1950,30/04/1950,USA,unemp,3665,5.8,monthly,USD
01/05/1950,31/05/1950,USA,unemp,3263,5.5,monthly,USD
01/06/1950,30/06/1950,USA,unemp,3551,5.4,monthly,USD
01/07/1950,31/07/1950,USA,unemp,3316,5,monthly,USD
01/08/1950,31/08/1950,USA,unemp,2613,4.5,monthly,USD
01/09/1950,30/09/1950,USA,unemp,2490,4.4,monthly,USD
01/10/1950,31/10/1950,USA,unemp,2055,4.2,monthly,USD
01/11/1950,30/11/1950,USA,unemp,2356,4.2,monthly,USD
01/12/1950,31/12/1950,USA,unemp,2409,4.3,monthly,USD
01/01/1951,31/01/1951,USA,unemp,2649,3.7,monthly,USD
01/02/1951,28/02/1951,USA,unemp,2538,3.4,monthly,USD
01/03/1951,31/03/1951,USA,unemp,2323,3.4,monthly,USD
01/04/1951,30/04/1951,USA,unemp,1938,3.1,monthly,USD
01/05/1951,31/05/1951,USA,unemp,1770,3,monthly,USD
01/06/1951,30/06/1951,USA,unemp,2132,3.2,monthly,USD
01/07/1951,31/07/1951,USA,unemp,2072,3.1,monthly,USD
01/08/1951,31/08/1951,USA,unemp,1806,3.1,monthly,USD
01/09/1951,30/09/1951,USA,unemp,1886,3.3,monthly,USD
01/10/1951,31/10/1951,USA,unemp,1754,3.5,monthly,USD
01/11/1951,30/11/1951,USA,unemp,1990,3.5,monthly,USD
01/12/1951,31/12/1951,USA,unemp,1796,3.1,monthly,USD
01/01/1952,31/01/1952,USA,unemp,2258,3.2,monthly,USD
01/02/1952,28/02/1952,USA,unemp,2340,3.1,monthly,USD
01/03/1952,31/03/1952,USA,unemp,2002,2.9,monthly,USD
01/04/1952,30/04/1952,USA,unemp,1836,2.9,monthly,USD
01/05/1952,31/05/1952,USA,unemp,1782,3,monthly,USD
01/06/1952,30/06/1952,USA,unemp,2032,3,monthly,USD
01/07/1952,31/07/1952,USA,unemp,2085,3.2,monthly,USD
01/08/1952,31/08/1952,USA,unemp,1918,3.4,monthly,USD
01/09/1952,30/09/1952,USA,unemp,1728,3.1,monthly,USD
01/10/1952,31/10/1952,USA,unemp,1480,3,monthly,USD
01/11/1952,30/11/1952,USA,unemp,1594,2.8,monthly,USD
01/12/1952,31/12/1952,USA,unemp,1545,2.7,monthly,USD
01/01/1953,31/01/1953,USA,unemp,2132,2.9,monthly,USD
01/02/1953,28/02/1953,USA,unemp,1964,2.6,monthly,USD
01/03/1953,31/03/1953,USA,unemp,1828,2.6,monthly,USD
01/04/1953,30/04/1953,USA,unemp,1764,2.7,monthly,USD
01/05/1953,31/05/1953,USA,unemp,1536,2.5,monthly,USD
01/06/1953,30/06/1953,USA,unemp,1732,2.5,monthly,USD
01/07/1953,31/07/1953,USA,unemp,1710,2.6,monthly,USD
01/08/1953,31/08/1953,USA,unemp,1512,2.7,monthly,USD
01/09/1953,30/09/1953,USA,unemp,1619,2.9,monthly,USD
01/10/1953,31/10/1953,USA,unemp,1572,3.1,monthly,USD
01/11/1953,30/11/1953,USA,unemp,2017,3.5,monthly,USD
01/12/1953,31/12/1953,USA,unemp,2634,4.5,monthly,USD
01/01/1954,31/01/1954,USA,unemp,3561,4.9,monthly,USD
01/02/1954,28/02/1954,USA,unemp,3983,5.2,monthly,USD
01/03/1954,31/03/1954,USA,unemp,4037,5.7,monthly,USD
01/04/1954,30/04/1954,USA,unemp,3846,5.9,monthly,USD
01/05/1954,31/05/1954,USA,unemp,3658,5.9,monthly,USD
01/06/1954,30/06/1954,USA,unemp,3681,5.6,monthly,USD
01/07/1954,31/07/1954,USA,unemp,3679,5.8,monthly,USD
01/08/1954,31/08/1954,USA,unemp,3470,6,monthly,USD
01/09/1954,30/09/1954,USA,unemp,3433,6.1,monthly,USD
01/10/1954,31/10/1954,USA,unemp,2929,5.7,monthly,USD
01/11/1954,30/11/1954,USA,unemp,3115,5.3,monthly,USD
01/12/1954,31/12/1954,USA,unemp,3009,5,monthly,USD
01/01/1955,31/01/1955,USA,unemp,3669,4.9,monthly,USD
01/02/1955,28/02/1955,USA,unemp,3569,4.7,monthly,USD
01/03/1955,31/03/1955,USA,unemp,3297,4.6,monthly,USD
01/04/1955,30/04/1955,USA,unemp,3162,4.7,monthly,USD
01/05/1955,31/05/1955,USA,unemp,2690,4.3,monthly,USD
01/06/1955,30/06/1955,USA,unemp,2893,4.2,monthly,USD
01/07/1955,31/07/1955,USA,unemp,2662,4,monthly,USD
01/08/1955,31/08/1955,USA,unemp,2536,4.2,monthly,USD
