Date,Last Price
3/31/1920,20.68
4/30/1920,20.68
5/31/1920,20.68
6/30/1920,20.68
7/30/1920,20.68
8/31/1920,20.68
9/30/1920,20.68
10/29/1920,20.68
11/30/1920,20.68
12/31/1920,20.68
1/31/1921,20.58
2/28/1921,20.58
3/31/1921,20.58
4/29/1921,20.58
5/31/1921,20.58
6/30/1921,20.58
7/29/1921,20.58
8/31/1921,20.58
9/30/1921,20.58
10/31/1921,20.58
11/30/1921,20.58
12/30/1921,20.58
1/31/1922,20.66
2/28/1922,20.66
3/31/1922,20.66
4/28/1922,20.66
5/31/1922,20.66
6/30/1922,20.66
7/31/1922,20.66
8/31/1922,20.66
9/29/1922,20.66
10/31/1922,20.66
11/30/1922,20.66
12/29/1922,20.66
1/31/1923,21.32
2/28/1923,21.32
3/30/1923,21.32
4/30/1923,21.32
5/31/1923,21.32
6/29/1923,21.32
7/31/1923,21.32
8/31/1923,21.32
9/28/1923,21.32
10/31/1923,21.32
11/30/1923,21.32
12/31/1923,21.32
1/31/1924,20.69
2/29/1924,20.69
3/31/1924,20.69
4/30/1924,20.69
5/30/1924,20.69
6/30/1924,20.69
7/31/1924,20.69
8/29/1924,20.69
9/30/1924,20.69
10/31/1924,20.69
11/28/1924,20.69
12/31/1924,20.69
1/30/1925,20.64
2/27/1925,20.64
3/31/1925,20.64
4/30/1925,20.64
5/29/1925,20.64
6/30/1925,20.64
7/31/1925,20.64
8/31/1925,20.64
9/30/1925,20.64
10/30/1925,20.64
11/30/1925,20.64
12/31/1925,20.64
1/29/1926,20.63
2/26/1926,20.63
3/31/1926,20.63
4/30/1926,20.63
5/31/1926,20.63
6/30/1926,20.63
7/30/1926,20.63
8/31/1926,20.63
9/30/1926,20.63
10/29/1926,20.63
11/30/1926,20.63
12/31/1926,20.63
1/31/1927,20.64
2/28/1927,20.64
3/31/1927,20.64
4/29/1927,20.64
5/31/1927,20.64
6/30/1927,20.64
7/29/1927,20.64
8/31/1927,20.64
9/30/1927,20.64
10/31/1927,20.64
11/30/1927,20.64
12/30/1927,20.64
1/31/1928,20.66
2/29/1928,20.66
3/30/1928,20.66
4/30/1928,20.66
5/31/1928,20.66
6/29/1928,20.66
7/31/1928,20.66
8/31/1928,20.66
9/28/1928,20.66
10/31/1928,20.66
11/30/1928,20.66
12/31/1928,20.66
1/31/1929,20.63
2/28/1929,20.63
3/29/1929,20.63
4/30/1929,20.63
5/31/1929,20.63
6/28/1929,20.63
7/31/1929,20.63
8/30/1929,20.63
9/30/1929,20.63
10/31/1929,20.63
11/29/1929,20.63
12/31/1929,20.63
1/31/1930,20.65
2/28/1930,20.65
3/31/1930,20.65
4/30/1930,20.65
5/30/1930,20.65
6/30/1930,20.65
7/31/1930,20.65
8/29/1930,20.65
9/30/1930,20.65
10/31/1930,20.65
11/28/1930,20.65
12/31/1930,20.65
1/30/1931,20.63
2/27/1931,20.63
3/31/1931,20.63
4/30/1931,20.63
5/29/1931,20.63
6/30/1931,20.63
7/31/1931,20.63
8/31/1931,20.63
9/30/1931,20.63
10/30/1931,20.63
11/30/1931,20.63
12/31/1931,20.63
1/29/1932,20.69
2/29/1932,20.69
3/31/1932,20.69
4/29/1932,20.69
5/31/1932,20.69
6/30/1932,20.69
7/29/1932,20.69
8/31/1932,20.69
9/30/1932,20.69
10/31/1932,20.69
11/30/1932,20.69
12/30/1932,20.69
1/31/1933,26.33
2/28/1933,26.33
3/31/1933,26.33
4/28/1933,26.33
5/31/1933,26.33
6/30/1933,26.33
7/31/1933,26.33
8/31/1933,26.33
9/29/1933,26.33
10/31/1933,26.33
11/30/1933,26.33
12/29/1933,26.33
1/31/1934,34.69
2/28/1934,34.69
3/30/1934,34.69
4/30/1934,34.69
5/31/1934,34.69
6/29/1934,34.69
7/31/1934,34.69
8/31/1934,34.69
9/28/1934,34.69
10/31/1934,34.69
11/30/1934,34.69
12/31/1934,34.69
1/31/1935,34.84
2/28/1935,34.84
3/29/1935,34.84
4/30/1935,34.84
5/31/1935,34.84
6/28/1935,34.84
7/31/1935,34.84
8/30/1935,34.84
9/30/1935,34.84
10/31/1935,34.84
11/29/1935,34.84
12/31/1935,34.84
1/31/1936,34.87
2/28/1936,34.87
3/31/1936,34.87
4/30/1936,34.87
5/29/1936,34.87
6/30/1936,34.87
7/31/1936,34.87
8/31/1936,34.87
9/30/1936,34.87
10/30/1936,34.87
11/30/1936,34.87
12/31/1936,34.87
1/29/1937,34.79
2/26/1937,34.79
3/31/1937,34.79
4/30/1937,34.79
5/31/1937,34.79
6/30/1937,34.79
7/30/1937,34.79
8/31/1937,34.79
9/30/1937,34.79
10/29/1937,34.79
11/30/1937,34.79
12/31/1937,34.79
1/31/1938,34.85
2/28/1938,34.85
3/31/1938,34.85
4/29/1938,34.85
5/31/1938,34.85
6/30/1938,34.85
7/29/1938,34.85
8/31/1938,34.85
9/30/1938,34.85
10/31/1938,34.85
11/30/1938,34.85
12/30/1938,34.85
1/31/1939,34.42
2/28/1939,34.42
3/31/1939,34.42
4/28/1939,34.42
5/31/1939,34.42
6/30/1939,34.42
7/31/1939,34.42
8/31/1939,34.42
9/29/1939,34.42
10/31/1939,34.42
11/30/1939,34.42
12/29/1939,34.42
1/31/1940,33.85
2/29/1940,33.85
3/29/1940,33.85
4/30/1940,33.85
5/31/1940,33.85
6/28/1940,33.85
7/31/1940,33.85
8/30/1940,33.85
9/30/1940,33.85
10/31/1940,33.85
11/29/1940,33.85
12/31/1940,33.85
1/31/1941,33.85
2/28/1941,33.85
3/31/1941,33.85
4/30/1941,33.85
5/30/1941,33.85
6/30/1941,33.85
7/31/1941,33.85
8/29/1941,33.85
9/30/1941,33.85
10/31/1941,33.85
11/28/1941,33.85
12/31/1941,33.85
1/30/1942,33.85
2/27/1942,33.85
3/31/1942,33.85
4/30/1942,33.85
5/29/1942,33.85
6/30/1942,33.85
7/31/1942,33.85
8/31/1942,33.85
9/30/1942,33.85
10/30/1942,33.85
11/30/1942,33.85
12/31/1942,33.85
1/29/1943,33.85
2/26/1943,33.85
3/31/1943,33.85
4/30/1943,33.85
5/31/1943,33.85
6/30/1943,33.85
7/30/1943,33.85
8/31/1943,33.85
9/30/1943,33.85
10/29/1943,33.85
11/30/1943,33.85
12/31/1943,33.85
1/31/1944,33.85
2/29/1944,33.85
3/31/1944,33.85
4/28/1944,33.85
5/31/1944,33.85
6/30/1944,33.85
7/31/1944,33.85
8/31/1944,33.85
9/29/1944,33.85
10/31/1944,33.85
11/30/1944,33.85
12/29/1944,33.85
1/31/1945,34.71
2/28/1945,34.71
3/30/1945,34.71
4/30/1945,34.71
5/31/1945,34.71
6/29/1945,34.71
7/31/1945,34.71
8/31/1945,34.71
9/28/1945,34.71
10/31/1945,34.71
11/30/1945,34.71
12/31/1945,34.71
1/31/1946,34.71
2/28/1946,34.71
3/29/1946,34.71
4/30/1946,34.71
5/31/1946,34.71
6/28/1946,34.71
7/31/1946,34.71
8/30/1946,34.71
9/30/1946,34.71
10/31/1946,34.71
11/29/1946,34.71
12/31/1946,34.71
1/31/1947,34.71
2/28/1947,34.71
3/31/1947,34.71
4/30/1947,34.71
5/30/1947,34.71
6/30/1947,34.71
7/31/1947,34.71
8/29/1947,34.71
9/30/1947,34.71
10/31/1947,34.71
11/28/1947,34.71
12/31/1947,34.71
1/30/1948,34.71
2/27/1948,34.71
3/31/1948,34.71
4/30/1948,34.71
5/31/1948,34.71
6/30/1948,34.71
7/30/1948,34.71
8/31/1948,34.71
9/30/1948,34.71
10/29/1948,34.71
11/30/1948,34.71
12/31/1948,34.71
1/31/1949,34.69
2/28/1949,34.69
3/31/1949,34.69
4/29/1949,34.69
5/31/1949,34.69
6/30/1949,34.69
7/29/1949,34.69
8/31/1949,34.69
9/30/1949,34.69
10/31/1949,34.69
11/30/1949,34.69
12/30/1949,34.69
1/31/1950,34.72
2/28/1950,34.72
3/31/1950,34.72
4/28/1950,34.72
5/31/1950,34.72
6/30/1950,34.72
7/31/1950,34.72
8/31/1950,34.72
9/29/1950,34.72
10/31/1950,34.72
11/30/1950,34.72
12/29/1950,34.72
1/31/1951,34.72
2/28/1951,34.72
3/30/1951,34.72
4/30/1951,34.72
5/31/1951,34.72
6/29/1951,34.72
7/31/1951,34.72
8/31/1951,34.72
9/28/1951,34.72
10/31/1951,34.72
11/30/1951,34.72
12/31/1951,34.72
1/31/1952,34.6
2/29/1952,34.6
3/31/1952,34.6
4/30/1952,34.6
5/30/1952,34.6
6/30/1952,34.6
7/31/1952,34.6
8/29/1952,34.6
9/30/1952,34.6
10/31/1952,34.6
11/28/1952,34.6
12/31/1952,34.6
1/30/1953,34.84
2/27/1953,34.84
3/31/1953,34.84
4/30/1953,34.84
5/29/1953,34.84
6/30/1953,34.84
7/31/1953,34.84
8/31/1953,34.84
9/30/1953,34.84
10/30/1953,34.84
11/30/1953,34.84
12/31/1953,34.84
1/29/1954,35.04
2/26/1954,35.04
3/31/1954,35.04
4/30/1954,35.04
5/31/1954,35.04
6/30/1954,35.04
7/30/1954,35.04
8/31/1954,35.04
9/30/1954,35.04
10/29/1954,35.04
11/30/1954,35.04
12/31/1954,35.04
1/31/1955,35.03
2/28/1955,35.03
3/31/1955,35.03
4/29/1955,35.03
5/31/1955,35.03
6/30/1955,35.03
7/29/1955,35.03
8/31/1955,35.03
9/30/1955,35.03
10/31/1955,35.03
11/30/1955,35.03
12/30/1955,35.03
1/31/1956,34.99
2/29/1956,34.99
3/30/1956,34.99
4/30/1956,34.99
5/31/1956,34.99
6/29/1956,34.99
7/31/1956,34.99
8/31/1956,34.99
9/28/1956,34.99
10/31/1956,34.99
11/30/1956,34.99
12/31/1956,34.99
1/31/1957,34.95
2/28/1957,34.95
3/29/1957,34.95
4/30/1957,34.95
5/31/1957,34.95
6/28/1957,34.95
7/31/1957,34.95
8/30/1957,34.95
9/30/1957,34.95
10/31/1957,34.95
11/29/1957,34.95
12/31/1957,34.95
1/31/1958,35.1
2/28/1958,35.1
3/31/1958,35.1
4/30/1958,35.1
5/30/1958,35.1
6/30/1958,35.1
7/31/1958,35.1
8/29/1958,35.1
9/30/1958,35.1
10/31/1958,35.1
11/28/1958,35.1
12/31/1958,35.1
1/30/1959,35.1
2/27/1959,35.1
3/31/1959,35.1
4/30/1959,35.1
5/29/1959,35.1
6/30/1959,35.1
7/31/1959,35.1
8/31/1959,35.1
9/30/1959,35.1
10/30/1959,35.1
11/30/1959,35.1
12/31/1959,35.1
1/29/1960,35.27
2/29/1960,35.27
3/31/1960,35.27
4/29/1960,35.27
5/31/1960,35.27
6/30/1960,35.27
7/29/1960,35.27
8/31/1960,35.27
9/30/1960,35.27
10/31/1960,35.27
11/30/1960,35.27
12/30/1960,35.27
1/31/1961,35.25
2/28/1961,35.25
3/31/1961,35.25
4/28/1961,35.25
5/31/1961,35.25
6/30/1961,35.25
7/31/1961,35.25
8/31/1961,35.25
9/29/1961,35.25
10/31/1961,35.25
11/30/1961,35.25
12/29/1961,35.25
1/31/1962,35.23
2/28/1962,35.23
3/30/1962,35.23
4/30/1962,35.23
5/31/1962,35.23
6/29/1962,35.23
7/31/1962,35.23
8/31/1962,35.23
9/28/1962,35.23
10/31/1962,35.23
11/30/1962,35.23
12/31/1962,35.23
1/31/1963,35.09
2/28/1963,35.09
3/29/1963,35.09
4/30/1963,35.09
5/31/1963,35.09
6/28/1963,35.09
7/31/1963,35.09
8/30/1963,35.09
9/30/1963,35.09
10/31/1963,35.09
11/29/1963,35.09
12/31/1963,35.09
1/31/1964,35.1
2/28/1964,35.1
3/31/1964,35.1
4/30/1964,35.1
5/29/1964,35.1
6/30/1964,35.1
7/31/1964,35.1
8/31/1964,35.1
9/30/1964,35.1
10/30/1964,35.1
11/30/1964,35.1
12/31/1964,35.1
1/29/1965,35.12
2/26/1965,35.12
3/31/1965,35.12
4/30/1965,35.12
5/31/1965,35.12
6/30/1965,35.12
7/30/1965,35.12
8/31/1965,35.12
9/30/1965,35.12
10/29/1965,35.12
11/30/1965,35.12
12/31/1965,35.12
1/31/1966,35.13
2/28/1966,35.13
3/31/1966,35.13
4/29/1966,35.13
5/31/1966,35.13
6/30/1966,35.13
7/29/1966,35.13
8/31/1966,35.13
9/30/1966,35.13
10/31/1966,35.13
11/30/1966,35.13
12/30/1966,35.13
1/31/1967,34.95
2/28/1967,34.95
3/31/1967,34.95
4/28/1967,34.95
5/31/1967,34.95
6/30/1967,34.95
7/31/1967,34.95
8/31/1967,34.95
9/29/1967,34.95
10/31/1967,34.95
11/30/1967,34.95
12/29/1967,34.95
1/31/1968,35.2
2/29/1968,35.2
3/29/1968,35.2
4/30/1968,37.9
5/31/1968,40.7
6/28/1968,41.1
7/31/1968,39.5
